mean_daily_rv,mean_daily_rv_red,daily_rms_binned_rvs,daily_rms_binned_rvs_red,num_obs_fit,day_mask
-2.2022363298390495,-2.562371377149412,0.2526750457257079,0.6577780390729705,25,false
-1.3087970700068912,-2.381802359602829,0.38135328462283197,1.5786627018667594,171,true
-0.9744628211564414,-1.5182274001901899,0.23972518700961215,0.8420599758555275,47,false
-1.2919528381182535,-1.4663379843950881,0.5247301311625441,1.0015249987169104,197,true
0.6606391119892567,1.42836999282049,0.41257076871984727,0.7696367424751994,176,true
1.3992481468192202,0.4385913727674912,0.4475272007870293,1.3192327536739683,94,false
-1.8247664900585217,-1.3260496480122637,0.0,0.0,27,false
-2.686494873618549,-1.0719914416283147,0.44057207621489436,1.4363211214977414,223,true
-1.8861057531394378,-1.477538198785197,0.35797984708233993,1.218229528413205,219,true
-3.1568470841537106,-2.6202515881866315,0.38794479327259485,1.094870739303016,224,true
