date,rv,rv_corrected,num_binned_obs
2021-03-05,-1.7644541582171267,-1.7340928541934695,28
2021-03-06,-2.1390542309733815,-2.1565422205579,27
2021-03-10,-2.2355351235389667,-2.2510122557977916,29
2021-03-11,-1.7792376570906783,-2.058005094732847,7
2021-03-12,-1.4838168121374964,-1.5306976625284932,4
2021-03-14,-1.4026392269742445,-1.4779793401811034,34
2021-03-17,-1.4206181628862595,-1.5598451900762476,19
2021-03-20,-2.329951681754863,-2.340760861452676,34
2021-03-21,-1.8358408854065407,-2.1985651150508527,4
2021-03-22,-1.2316761378199106,-1.2332026514739534,38
2021-03-23,-0.7463269896577467,-0.8878940803737907,18
2021-03-26,-2.687287564148443,-2.886442907369191,20
2021-03-27,-2.2081329094679467,-2.207438741831622,35
2021-03-28,-1.754916115705244,-1.761820902578429,38
2021-03-30,-2.7429503717397385,-2.746022880236157,37
2021-03-31,-3.2719358316298033,-3.276805314976405,37
2021-04-01,-1.4816580591660582,-1.6149594504701685,23
2021-04-02,-1.4494599303870523,-1.4442579882207127,35
2021-04-03,-2.036452812149088,-2.033220689129106,39
2021-04-04,-2.477540695570739,-2.4761800544690766,35
2021-04-13,-2.1242086030610254,-2.2217128449491588,26
2021-04-17,-2.2332521106707377,-2.2126608848471365,33
2021-04-18,-1.642724773298279,-1.6847485279049939,22
2021-04-19,-2.2436517219075918,-2.244978522252025,37
2021-04-20,-2.2022363298390495,-2.4437289819664585,4
2021-04-21,-1.3087970700068912,-1.2926335173880295,25
2021-04-22,-0.9744628211564414,-0.7349021300672173,4
2021-04-23,-1.2919528381182535,-1.3084898014959514,29
2021-04-24,0.6606391119892567,0.5870801348836023,25
2021-04-25,1.3992481468192202,1.2574040964183864,12
2021-04-28,-1.8247664900585217,-1.787937483235239,1
2021-04-29,-2.686494873618549,-2.683236555168662,35
2021-04-30,-1.8861057531394378,-1.875460938093439,22
2021-05-03,-3.1568470841537106,-3.1437112432617518,39
2021-05-04,-3.9779871484932805,-3.9657598302044113,27
2021-05-06,-3.1723421076042544,-3.18816102308839,31
2021-05-07,-2.933319377393987,-2.912613533096481,39
2021-05-10,-2.2228016198616123,-2.1832654912851552,34
2021-05-11,-2.495550918601088,-2.511570057938811,35
2021-05-12,-1.7834612675620733,-1.7825612549971015,33
2021-05-13,-2.4942378963160925,-2.460994323879277,16
2021-05-14,-1.976689164904143,-1.9262270823390488,32
2021-05-16,-2.790761292510773,-2.7642638452469783,39
2021-05-17,-2.6806314058051415,-2.6585359455512405,33
2021-05-19,-2.7527508316170266,-2.733824020576547,35
2021-05-20,-1.4066989597921462,-1.5082130401246228,16
2021-05-21,-0.8078222852713572,-0.7739023906675121,34
2021-05-22,-1.3803739356077789,-1.35498414758784,37
2021-05-26,-1.4326759909359692,-1.4770266504643177,9
2021-05-27,-1.9654557261129735,-1.9355475668739341,36
2021-05-28,-1.7704345113043005,-1.74179550774555,27
2021-05-29,-2.91276862717286,-2.8783016425659875,35
2021-05-30,-3.8601591144124665,-3.838178808883115,31
