date,rv,rv_corrected,rv_drp,num_binned_obs
2022-04-29,1.0600095633020805,1.0747549593088337,5.423068787829166,46
2022-04-30,1.558476850157002,1.48706669672741,6.216032211242006,16
2022-05-01,1.674157122631175,1.6795059127257894,6.631113515352505,45
2022-05-02,0.01927127189597299,0.03250777255990471,4.657520470182974,47
2022-05-13,-0.6963760144892064,-0.6031308869037237,-6.376947232182295,25
2022-05-14,-0.3758642345470543,-0.35370381713109605,4.048473937000474,44
2022-05-15,-0.1934011568571091,-0.16538063363369226,4.318832656585281,37
2022-05-16,1.855344277169155,1.8787434300872228,6.114717598982522,46
2022-05-17,4.318287190534946,4.312837553205663,8.48883490149488,38
2022-05-18,5.506854894079473,5.528731668684004,9.740095948076233,44
2022-05-19,5.597071865338014,5.6240517487104285,10.11452026883497,46
2022-05-20,4.433905123755603,4.45585264207022,9.028446732398777,43
2022-05-21,3.3525629985430605,3.383639663578409,8.72765880848647,40
2022-05-22,1.5502300738246368,1.6653523644214894,6.66714301651028,23
2022-05-23,-0.021915646030494534,-0.01757078969993693,4.952961822131674,34
2022-05-24,-0.27852625722333857,-0.20548179939442296,4.293218878731131,31
2022-05-25,-0.3405088242737616,-0.3097889348804532,3.8702353968157466,43
2022-05-26,-0.15596411336231983,-0.13275447465628887,3.9667223919189754,38
2022-05-27,0.7032420002499669,0.7374488709694837,4.9130374751705785,43
2022-05-28,0.8465691927333034,1.0120447371552908,5.188088712734906,8
2022-05-29,-0.3632268031563026,-0.3297232124624508,4.210131720526422,37
2022-05-30,-0.33093165851947376,-0.293833034806525,3.8958590159138273,42
2022-05-31,-0.9313814422042671,-0.884763506872327,3.406819263984451,39
2022-06-01,-1.1066836853105146,-1.0591596858449426,3.1007962322845417,40
2022-06-02,-1.8095563976918154,-1.7562676580602887,2.5539821556903597,26
2022-06-03,-1.73634632991891,-1.696593409817935,2.26739828971656,42
2022-06-04,-1.8578493170762493,-1.8507855560838995,1.9494667806642108,28
2022-06-05,-2.154153081402559,-2.1036151137422996,1.7153699412708612,23
2022-06-06,-1.4510030323843846,-1.4082699869159072,2.348151189906611,41
2022-06-07,-2.187696324253127,-2.2998372467385666,1.925972238944973,12
2022-06-08,-1.8250485985408766,-1.6813517329242662,1.407259298872643,16
2022-06-09,0.21725787586470868,0.20335435927686885,3.485496723475534,20
2022-06-11,0.5111050161788181,0.4581395501904437,4.186708113044668,1
2022-12-01,-0.5032191581254668,-0.7288178072540559,0.5861562246589802,5
2022-12-05,2.8677753173338982,2.5861184237237134,3.8169093570704815,21
2022-12-06,2.4944312499720374,2.8049948722327684,4.110183632213178,22
2022-12-07,3.405406331659621,3.6227550909752257,5.04443653973909,22
2022-12-08,1.7652394777266156,1.733700262422831,3.534814200195653,23
2022-12-09,-0.341432674991003,-0.3288583235227308,1.919715485355984,42
2022-12-10,-0.2901409200286851,-0.25356013566061936,2.2323410867842908,43
2022-12-11,-0.5929916730271922,-0.8090692262554567,1.9457688685883445,11
2022-12-13,2.081066299560073,1.577777336093514,3.8425684958786244,1
2022-12-14,1.2371210744638872,0.866108230183871,2.9699964842216,21
2022-12-15,0.3481208235930398,0.3700742468021607,3.669725436812672,41
2022-12-16,0.7376753085756657,0.7308873083671361,18.468439967074165,23
2022-12-17,-0.8487574882263876,-0.9226910846515708,1.3636080904393566,17
2022-12-19,-0.4800725868207184,-0.443204866314648,1.2136635950070929,42
2022-12-21,0.7624777242631979,0.7831178509085379,2.4159588934492726,39
2022-12-23,1.7345268864242145,1.7510207152560988,3.052364391965896,42
2022-12-25,0.16889577969682182,0.45960114046438044,20.92602863061923,23
2022-12-26,-2.408019856760494,-2.3010609870877765,-0.1939657010364515,31
2023-01-03,1.9607505547503443,1.9181852457583874,3.648717181079859,25
2023-01-04,1.92003437700695,1.959749120990665,3.428364794399359,35
2023-01-07,2.141891699566058,2.138017267799963,4.060275615471971,40
2023-01-09,2.4029671434041444,2.1443375149119035,3.9368399520573094,22
2023-01-10,1.3057503603793699,1.9094663189228562,3.02724676671819,7
2023-01-11,2.5345714210628203,2.9996517566159273,3.8805188009357794,2
2023-01-13,2.311846887952835,2.2535221483748527,3.879926561080178,5
2023-01-19,5.748009701225637,5.759581189854218,8.118415444881473,41
2023-01-20,3.1945918287095036,3.1861792544559266,6.0498159601663115,43
2023-01-21,0.6663815964474574,0.6593721628511741,3.9084497419855824,40
2023-01-22,0.42575468910991804,0.2904146552679556,3.331834390858286,37
2023-01-23,0.5143697023677903,0.12979449039614738,2.9949331524931244,18
2023-01-24,-0.7465468709924415,-0.7706167744274491,1.2263013131108735,44
2023-01-25,-0.8551207875314447,-0.8561308871094991,0.6359180030430966,42
2023-01-26,-0.9183822248048609,-0.9490999943756969,0.6958814542684832,47
2023-01-27,0.2875756579716498,0.06704980933346032,1.915802069039536,34
2023-01-28,-0.3475770845772328,-0.027122143776200543,1.3896070980316155,19
2023-01-29,0.449088386805667,0.40611188086881594,2.1471988306169987,46
2023-01-30,0.7327196210274176,0.6866442756397972,2.3646320862572745,45
2023-02-02,1.0684588962034243,0.6741676182879716,3.1728409217231146,23
2023-02-03,2.5587053004714946,2.053306472275943,4.085357049604905,8
2023-02-04,2.566599611393575,2.4673134805016494,4.691002199217493,44
2023-03-01,-1.4798636901552034,-1.8894462524959654,0.3754622966230148,9
2023-03-03,-0.19278130112804204,-0.1940039337678711,1.3186502424947966,43
2023-03-04,1.9280905425537855,1.8829083841559553,3.7470814059485003,44
2023-03-05,3.9707363377450293,3.5288520741524696,5.713169807221714,6
2023-03-08,2.3967285144911443,2.407254164235036,4.457753608427613,44
2023-03-09,2.198384480948998,2.1376104829251603,4.194503528322531,40
2023-03-13,0.7877464791471024,0.8042841626987286,2.6863892239711484,21
2023-03-14,1.9328829783026562,1.7311536511328949,3.79253958151073,9
2023-03-17,-2.8515310737037436,-2.530374938391446,-0.6133963304067835,7
2023-04-01,-1.4136760942668471,-1.4033911962154104,0.605303667599828,42
2023-04-02,0.11406978385342229,0.11427464166716354,2.056072294368234,43
2023-04-03,-0.7834103884604892,-0.7729137091121892,4.1895737900788,46
2023-04-04,-1.531040769519493,-1.4957099456048881,0.7567128605480322,41
2023-04-05,-0.8205037087615179,-1.0304115639671751,3.21955723089153,11
2023-04-06,-1.245916406833766,-1.2776083830525122,0.2969999710987947,22
2023-04-07,-0.7030255421015025,-0.9517223519971738,0.8552684962217683,3
2023-04-08,-0.09233720269949637,-0.19272896763970015,1.593856893755592,22
2023-04-09,0.5054043807178781,0.5856074668552969,2.0589864619149534,35
2023-04-10,0.9522234770880003,0.8736891995250532,2.5986233043000695,27
2023-04-12,2.438289499586894,2.4846212931600387,4.006247415653048,11
2023-04-13,1.2644180753019985,1.3372858133419234,2.8071950206811813,35
2023-04-14,0.7159514544098299,0.7514103424778252,2.8091332961588567,43
2023-04-15,1.9611969325060994,1.9746136597757769,3.5964383953843893,47
2023-04-16,2.2486565493385586,2.219845958936279,3.8718461800284665,37
2023-04-17,1.8509578045296404,1.8692576602138442,3.151822229289354,46
2023-04-18,2.017570606590311,2.0200574485816047,3.4711122982285136,15
2023-04-19,0.09038816129592933,0.1039426934185367,2.204639640942103,46
2023-04-20,-0.3006239382907823,-0.2789210552632767,8.439243078623889,47
2023-04-21,-1.034173253121005,-1.0133745601776523,0.9775970622314567,48
2023-04-22,-1.0616164260890366,-1.0526633345434098,0.7823826887347796,45
2023-04-23,-0.5315418025418173,-0.44757164867812577,1.0529442854203719,28
2023-04-24,0.06230827186201876,0.08538167041254431,1.4941724840276294,48
2023-04-25,0.28519406956057514,0.29646042991699306,1.8707506517606953,43
2023-04-26,0.675576226717036,0.6956903340692756,2.068686583653907,48
2023-04-27,0.9237412040148387,0.9516292072948344,2.724060440332039,41
2023-04-28,1.3321635953671949,1.3651106587966861,3.269037489319855,38
2023-04-29,0.3251481323410386,0.3389557689153265,2.539304312854447,42
2023-04-30,-0.3180314373579566,-0.46606882079910583,1.4933055410339025,1
2023-05-02,-1.6927154956378279,-1.6640995707795005,-0.04577353092692249,45
2023-05-03,-0.9262957773187755,-0.9972563710813062,0.5362474199262124,16
2023-05-04,0.7073978412086727,0.7304613480423826,1.6932399392545383,46
2023-05-05,2.4604713475585993,2.4872580439821705,3.5959553463797045,47
2023-05-06,2.5819307992046316,2.604856160881072,4.087464692233329,47
2023-05-07,3.4690412701192384,3.4680208563227333,5.079460899633088,30
2023-05-08,3.3414251297664603,3.3651836973106164,5.323888532992944,47
2023-05-09,1.4301858905143332,1.4556004054597143,3.858586150227401,47
2023-05-10,-0.1886094539560706,-0.13992213090181332,2.338717553408216,40
2023-05-11,-0.7868055134596217,-0.7684735340776959,1.5373788445449854,42
2023-05-12,0.43505230322596256,0.4445633529383801,2.3308856579118586,41
2023-05-13,1.7444725053113155,1.7623092286306001,3.328272281047724,41
2023-05-14,1.4218413797252762,1.324094972995004,3.234269598396362,18
2023-05-15,0.6129252323526571,0.5591831103199415,2.1596038848699273,21
2023-05-16,-1.246338263846511,-1.3450986547881731,0.16459326812580777,4
2023-05-17,-1.9977487960206681,-1.9886729317378473,-0.5505821917148701,4
2023-05-20,0.6927242713061303,0.6219330140609808,1.781465705093206,16
2023-05-21,2.939101287979925,2.9740328384401025,3.9493517528196476,28
2023-05-22,3.6869004894523094,3.7202113208723544,4.7700132691786035,38
2023-05-23,5.1781745049994665,5.255074494911807,6.623061525505087,36
2023-05-24,3.633504425144702,3.6693046060366035,5.5357285118470445,42
2023-05-25,2.2433099270538315,2.279395206723934,4.716957215116797,39
2023-05-26,2.020208405839039,2.0622780433106906,4.747507350690312,43
2023-05-27,0.7431409218567393,0.7845467133654699,3.4582835692214164,43
2023-05-28,-1.3224624111338237,-1.2779587079895547,1.007720218824022,44
2023-05-29,-3.913700919939301,-3.864352593915569,-1.4483609554532917,41
2023-05-30,-2.172547887400268,-2.176712094281871,0.010806426935978664,28
2023-05-31,-2.9530250597370675,-2.9122925576528678,-0.9639623806256647,39
2023-06-02,-0.9004108988694864,-0.8625545446288211,0.5856384534888193,38
2023-06-03,1.66032868742563,1.7027185627097272,2.815003669147571,32
2023-06-04,0.9656585195845423,0.9368073499177159,2.200968459412773,24
2023-06-06,4.084622781143492,4.196548208698178,5.7389123762236105,28
2023-06-07,4.186446208860936,4.138901524086513,6.374206303557801,16
2023-06-08,4.513435930090141,4.65590470065717,6.446127181516288,11
2023-06-09,5.800650001473454,5.945576154636469,7.765388323113704,23
2023-06-10,4.426666841904764,4.455852802272398,6.663142953465835,40
2023-06-11,3.1197350448777987,3.1503182711170594,5.540226767768015,46
2023-06-12,-0.378389052324847,-0.31797644564182437,2.2158825594634957,38
2023-06-13,-2.0110102284722906,-2.005012543293925,0.12089469276234777,41
2023-06-14,-2.454526192728495,-2.4241958222126287,-0.9368061133701966,44
2023-06-15,-0.7234752017503546,-0.7046242572188395,0.47680081314784406,47
2023-06-16,0.7150922247859554,0.7623582647013056,1.812903013275875,37
2023-06-17,2.9939397051532177,2.8641330966117167,3.924272772032351,23
2023-06-18,4.783077566773276,4.862986508349777,5.7046521743380385,8
2023-06-19,5.4093360742767596,5.294562694066271,6.566932302036772,21
2023-06-20,4.352143238386478,4.363588783775254,6.420279213799414,28
2023-06-21,4.046874054299688,3.881852950838798,6.102596198564254,2
2023-06-22,3.7478101690550916,3.7665734424075685,5.861834408842155,43
2023-06-23,3.339725935804522,3.346705036314945,5.733779863650774,44
2023-06-24,3.121238448339313,3.117352202131775,5.139772710951802,43
2023-06-27,1.189287994792077,1.1996124128547465,2.453832891373926,45
2023-06-28,0.9715495227733599,0.9783304795018338,2.2543026189878645,41
2023-06-29,-0.18817603474719533,-0.17822114303671077,1.31976049418971,42
2023-06-30,-1.43164809575302,-1.4107876518293474,0.4771761672535302,38
2023-07-01,-1.2925914245851802,-1.2734387117021158,0.4107896456410254,43
2023-07-02,-1.545401824059259,-1.5266348047243805,-0.01666293638256544,45
2023-07-03,1.145106673569492,1.1504935036932173,2.4041931051022214,48
2023-07-04,2.543935798944569,2.546184692768739,3.703815771233039,47
2023-07-05,3.561427457808535,3.57087857467499,4.715832064448384,48
2023-07-06,3.3982639188677357,3.4107330543716543,4.602049374781609,46
2023-07-07,2.659714923927754,2.6746286116938123,3.924542839336649,45
